asset_id,experiment_id,modality,relative_path,file_start_time,file_end_time,parser_name,parser_version
E001,EXP_001,electrical,batteries/CELL_001/EXP_001/electrical/小-1-1-264.xlsx,,,custom_excel,0.1.0
U001,EXP_001,ultrasound,batteries/CELL_001/EXP_001/ultrasound/export - 2024.01.06 - 21.03.01.txt,2024-01-06 09:52:31,,custom_txt,0.1.0
